"Question Text","Option 1","Option 2","Option 3","Option 4","Correct Options","Category","Tags","Weight","Negative Marking"
"What is the capital of France?","London","Paris","Berlin","Madrid","1","Easy","Geography;Europe","1","false"
"Which programming language is known for web development?","Python","JavaScript","C++","Java","1","Medium","Programming;Web","2","true"
"What is 2 + 2?","3","4","5","6","1","Easy","Mathematics;Arithmetic","1","false"
"Which of these are primary colors? (Select multiple)","Red","Green","Blue","Yellow","0,2","Medium","Art;Colors","2","false"
"What is the speed of light in vacuum?","299,792,458 m/s","150,000,000 m/s","300,000,000 m/s","250,000,000 m/s","0","Hard","Physics;Science","3","true"
"Who wrote Romeo and Juliet?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain","1","Easy","Literature;Drama","1","false"
"What is the largest planet in our solar system?","Earth","Mars","Jupiter","Saturn","2","Easy","Astronomy;Science","1","false"
"Which data structure uses LIFO (Last In First Out)?","Queue","Stack","Array","Tree","1","Medium","Computer Science;Data Structures","2","true"
"What is the chemical symbol for gold?","Go","Gd","Au","Ag","2","Medium","Chemistry;Elements","2","false"
"In which year did World War II end?","1943","1944","1945","1946","2","Medium","History;World Wars","2","false"
